,Estado,Año,Mes,SPI
0,Aguascalientes,1951,1.0,-1.462777777777778
1,Aguascalientes,1951,2.0,-1.4099999999999997
2,Aguascalientes,1951,3.0,-1.03
3,Aguascalientes,1951,4.0,-1.3266666666666669
4,Aguascalientes,1951,5.0,-1.1849999999999998
5,Aguascalientes,1951,6.0,-1.2133333333333334
6,Aguascalientes,1951,7.0,-1.392777777777778
7,Aguascalientes,1951,8.0,-1.4649999999999999
8,Aguascalientes,1951,9.0,-1.2244444444444444
9,Aguascalientes,1951,10.0,-1.1016666666666666
10,Aguascalientes,1951,11.0,-1.4422222222222223
11,Aguascalientes,1951,12.0,-1.4744444444444444
12,Aguascalientes,1952,1.0,-1.462777777777778
13,Aguascalientes,1952,2.0,-1.4099999999999997
14,Aguascalientes,1952,3.0,-1.2405555555555554
15,Aguascalientes,1952,4.0,-1.1011111111111112
16,Aguascalientes,1952,5.0,-1.3150000000000002
17,Aguascalientes,1952,6.0,-1.0488888888888888
18,Aguascalientes,1952,7.0,-1.7999999999999998
19,Aguascalientes,1952,8.0,-1.5188888888888887
20,Aguascalientes,1952,9.0,-1.1694444444444445
21,Aguascalientes,1952,10.0,-1.7705555555555557
22,Aguascalientes,1952,11.0,-1.2355555555555557
23,Aguascalientes,1952,12.0,-1.3294444444444444
24,Aguascalientes,1953,1.0,-1.4566666666666668
25,Aguascalientes,1953,2.0,-1.2283333333333333
26,Aguascalientes,1953,3.0,-1.1316666666666666
27,Aguascalientes,1953,4.0,-1.3866666666666667
28,Aguascalientes,1953,5.0,-1.7222222222222223
29,Aguascalientes,1953,6.0,-1.3672222222222221
30,Aguascalientes,1953,7.0,-1.5994444444444444
31,Aguascalientes,1953,8.0,-0.9783333333333333
32,Aguascalientes,1953,9.0,-1.5594444444444446
33,Aguascalientes,1953,10.0,-1.1461111111111113
34,Aguascalientes,1953,11.0,-1.0566666666666669
35,Aguascalientes,1953,12.0,-0.7427777777777779
36,Aguascalientes,1954,1.0,-1.4355555555555557
37,Aguascalientes,1954,2.0,-1.366111111111111
38,Aguascalientes,1954,3.0,-1.2405555555555554
39,Aguascalientes,1954,4.0,-1.278888888888889
40,Aguascalientes,1954,5.0,-1.3455555555555554
41,Aguascalientes,1954,6.0,-1.2838888888888889
42,Aguascalientes,1954,7.0,-1.2522222222222221
43,Aguascalientes,1954,8.0,-1.6683333333333332
44,Aguascalientes,1954,9.0,-1.5455555555555556
45,Aguascalientes,1954,10.0,-1.3677777777777775
46,Aguascalientes,1954,11.0,-1.4444444444444446
47,Aguascalientes,1954,12.0,-1.4744444444444444
48,Aguascalientes,1955,1.0,-1.462777777777778
49,Aguascalientes,1955,2.0,-1.4099999999999997
50,Aguascalientes,1955,3.0,-1.2405555555555554
51,Aguascalientes,1955,4.0,-1.4027777777777777
52,Aguascalientes,1955,5.0,-1.5516666666666667
53,Aguascalientes,1955,6.0,-1.2694444444444446
